Bin_ID	Query_ID	Hit_ID	Hit_Description	Subject_Length	Score	Bits	E-value	Identities	Positives	Gaps	Query_Start_Position	Query_End_Position	Subject_Start_Position	Subject_End_Position
binning_output.020	k141_1199294_6 # 3073 # 3213 # 1 # ID=109_6	gnl|BL_ORD_ID|9113	VFG047169(gb|WP_013922530) (wbtE) nucleotide sugar dehydrogenase [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella sp. TX077308]	424	196.0	80.1073	4.79514e-20	74%	89%	0%	1	47	1	47
binning_output.089	k141_1527683_3 # 990 # 1181 # 1 # ID=76_3	gnl|BL_ORD_ID|21495	VFG019759(gb|WP_003110427) (pilR) two-component response regulator PilR [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas aeruginosa LESB58]	445	93.0	40.4318	1.33584e-05	34%	55%	0%	1	64	1	64
binning_output.089	k141_2975731_1 # 3 # 476 # -1 # ID=225_1	gnl|BL_ORD_ID|1330	VFG038785(gb|WP_005320200) (flgH) flagellar basal body L-ring protein [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]	223	205.0	83.5741	2.54966e-20	34%	51%	7%	1	158	1	162
binning_output.089	k141_2188794_2 # 276 # 1331 # 1 # ID=324_2	gnl|BL_ORD_ID|2392	VFG016676(gb|WP_011180552) (omp89) outer membrane protein assembly factor BamA [Omp89 (VF0676) - Adherence (VFC0001)] [Bartonella henselae str. Houston-1]	798	369.0	146.747	8.90911e-39	27%	48%	7%	1	352	16	362
binning_output.089	k141_2825709_6 # 3341 # 3493 # 1 # ID=385_6	gnl|BL_ORD_ID|5814	VFG021784(gb|WP_013242724) (sapA) DUF11 domain-containing protein [Surface-anchored pilus proteins (VF0736) - Adherence (VFC0001)] [Corynebacterium pseudotuberculosis FRC41]	796	51.0	24.2534	3.95013	31%	47%	16%	1	51	458	500
binning_output.089	k141_57941_49 # 51962 # 53149 # 1 # ID=393_49	gnl|BL_ORD_ID|8790	VFG046459(gb|WP_004287053) (tufA) elongation factor Tu [EF-Tu (VF0460) - Adherence (VFC0001)] [Francisella philomiragia subsp. philomiragia ATCC 25017]	394	1599.0	620.542	0.0	76%	90%	1%	1	396	1	394
binning_output.089	k141_1758959_3 # 1457 # 1810 # 1 # ID=402_3	gnl|BL_ORD_ID|1350	VFG038809(gb|WP_005320212) (flgB) flagellar basal-body rod protein FlgB [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]	132	337.0	134.42	9.16511e-42	58%	73%	0%	1	118	1	118
binning_output.089	k141_1946442_1 # 1 # 570 # -1 # ID=448_1	gnl|BL_ORD_ID|257	VFG037777(gb|WP_000867091) (lpsB) glycosyltransferase family 4 protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU]	366	876.0	342.043	3.15075e-119	84%	92%	0%	1	190	1	190
binning_output.151	k141_714678_1 # 2 # 382 # -1 # ID=4_1	gnl|BL_ORD_ID|9663	VFG013198(gb|WP_011608203) (hemC) hydroxymethylbilane synthase [Heme biosynthesis (VF0758) - Nutritional/Metabolic factor (VFC0272)] [Haemophilus somnus 2336]	321	319.0	127.487	8.54791e-37	51%	67%	1%	1	127	3	130
binning_output.151	k141_1342640_1 # 2 # 490 # -1 # ID=46_1	gnl|BL_ORD_ID|13045	VFG007804(gb|YP_007956947) (purC) phosphoribosylaminoimidazole-succinocarboxamide synthase [Purine synthesis (VF0811) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium tuberculosis str. Haarlem/NITR202]	280	398.0	157.918	3.06216e-48	46%	66%	4%	1	163	1	157
binning_output.151	k141_1176116_1 # 1 # 1404 # 1 # ID=201_1	gnl|BL_ORD_ID|14968	VFG022823(gb|YP_001703205) (katG) Catalase/peroxidase (KatG) [KatG (VF0303) - Stress survival (VFC0282)] [Mycobacterium abscessus ATCC 19977]	738	1482.0	575.474	0.0	60%	76%	1%	1	468	32	492
binning_output.151	k141_1622106_2 # 590 # 1144 # 1 # ID=206_2	gnl|BL_ORD_ID|1375	VFG038839(gb|WP_011707832) (flmH) short chain dehydrogenase/reductase family oxidoreductase [Polar flagella (VF0473) - Motility (VFC0204)] [Aeromonas hydrophila subsp. hydrophila ATCC 7966]	249	262.0	105.531	3.12915e-28	36%	51%	3%	1	185	5	195
binning_output.151	k141_3052962_1 # 1 # 414 # -1 # ID=231_1	gnl|BL_ORD_ID|17402	VFG030998(gb|YP_001701367) (fadE29) Putative acyl-CoA dehydrogenase [FadE29 (VF0845) - Nutritional/Metabolic factor (VFC0272)] [Mycobacterium abscessus ATCC 19977]	387	185.0	75.8702	4.18179e-17	33%	49%	4%	1	138	1	133
binning_output.151	k141_1803537_2 # 1673 # 1780 # 1 # ID=239_2	gnl|BL_ORD_ID|25625	VFG005353(gb|WP_000260656) (plr/gapA) type I glyceraldehyde-3-phosphate dehydrogenase [Streptococcal plasmin receptor/GAPDH (VF1042) - Adherence (VFC0001)] [Streptococcus agalactiae A909]	336	92.0	40.0466	5.71127e-06	61%	67%	6%	1	36	1	34
binning_output.151	k141_2163566_9 # 7903 # 8922 # 1 # ID=288_9	gnl|BL_ORD_ID|268	VFG037805(gb|WP_001985694) (lpxB) lipid-A-disaccharide synthase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii AB0057]	391	540.0	212.616	8.25912e-66	35%	57%	8%	1	340	1	353
binning_output.151	k141_2168879_2 # 721 # 1344 # 1 # ID=356_2	gnl|BL_ORD_ID|19277	VFG000141(gb|NP_253675) (waaA) lipopolysaccharide core biosynthesis protein WaaP [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]	425	342.0	136.346	4.38522e-38	35%	57%	2%	1	208	1	210
binning_output.151	k141_2526425_3 # 3035 # 3520 # 1 # ID=368_3	gnl|BL_ORD_ID|10001	VFG013612(gb|WP_011609686) (hemE) uroporphyrinogen decarboxylase [Heme biosynthesis (VF0758) - Nutritional/Metabolic factor (VFC0272)] [Haemophilus somnus 129PT]	354	471.0	186.037	1.4982e-58	53%	67%	1%	1	162	4	166
binning_output.151	k141_833701_5 # 2233 # 2319 # 1 # ID=443_5	gnl|BL_ORD_ID|22509	VFG040077(gb|WP_012148256) (rvhB6e) VirB6-like protein of the type IV secretion system [Rvh T4SS (VF0488) - Effector delivery system (VFC0086)] [Rickettsia canadensis str. McKiel]	1146	47.0	22.7126	4.79249	31%	55%	0%	1	29	389	417
binning_output.151	k141_388589_1 # 32 # 1237 # 1 # ID=447_1	gnl|BL_ORD_ID|19277	VFG000141(gb|NP_253675) (waaA) lipopolysaccharide core biosynthesis protein WaaP [LPS (VF0085) - Immune modulation (VFC0258)] [Pseudomonas aeruginosa PAO1]	425	680.0	266.544	2.08719e-85	38%	58%	4%	1	402	1	408
binning_output.151	k141_2888056_1 # 2 # 91 # -1 # ID=449_1	gnl|BL_ORD_ID|3925	VFG026116(gb|WP_012327962) (wcbP) capsular polysaccharide biosynthesis dehydrogenase/reductase [Capsule I (VF0436) - Immune modulation (VFC0258)] [Burkholderia cenocepacia MC0-3]	261	62.0	28.4906	0.0491323	43%	63%	0%	1	30	1	30
binning_output.151	k141_2621496_1 # 3 # 707 # -1 # ID=453_1	gnl|BL_ORD_ID|9378	VFG047706(gb|WP_012429025) (carB) carbamoyl phosphate synthase large subunit [Pyrimidine biosynthesis (VF0558) - Nutritional/Metabolic factor (VFC0272)] [Francisella tularensis subsp. mediasiatica FSC147]	1094	960.0	374.4	5.607e-123	74%	87%	0%	1	235	152	385
binning_output.151	k141_3069757_1 # 1 # 555 # -1 # ID=489_1	gnl|BL_ORD_ID|9090	VFG047104(gb|WP_003040350) (wbtH) asparagine synthase (glutamine-hydrolyzing) [LPS (VF0542) - Immune modulation (VFC0258)] [Francisella novicida U112]	630	102.0	43.8986	2.24795e-05	24%	43%	25%	1	185	1	153
binning_output.151	k141_2000290_3 # 1652 # 1990 # 1 # ID=512_3	gnl|BL_ORD_ID|19062	VFG040913(gb|WP_011094631) (gspF) type II secretion system inner membrane protein GspF [Out (VF1285) - Effector delivery system (VFC0086)] [Pectobacterium atrosepticum SCRI1043]	408	164.0	67.781	1.89876e-14	30%	56%	5%	1	113	1	119
binning_output.151	k141_1737242_1 # 1 # 117 # -1 # ID=577_1	gnl|BL_ORD_ID|26840	VFG007637(gb|WP_000756756) (wbjD/wecB) UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing) VpsA [Capsular polysaccharide (VF0624) - Immune modulation (VFC0258)] [Vibrio cholerae O1 biovar El Tor str. N16961]	372	64.0	29.261	0.0353623	40%	56%	16%	1	39	1	40
binning_output.151	k141_1022538_1 # 3 # 1436 # -1 # ID=578_1	gnl|BL_ORD_ID|9383	VFG047718(gb|WP_013921812) (carB) carbamoyl phosphate synthase large subunit [Pyrimidine biosynthesis (VF0558) - Nutritional/Metabolic factor (VFC0272)] [Francisella sp. TX077308]	1094	1536.0	596.275	0.0	60%	75%	6%	1	478	170	664
