user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
binning_output.001	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.96	0.177	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 97.47, 0.193; GCF_000400735.1, s__Acinetobacter tandoii, 95.0, 94.36, 0.168; GCF_016599715.1, s__Acinetobacter sp002135245, 95.0, 93.82, 0.165; GCF_003611475.1, s__Acinetobacter rongchengensis, 95.0, 93.21, 0.153	14.74	11	1.0	Genome domain questionable ( 15.0% Bacterial, 9.4% Archaeal)
binning_output.002	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	98.43	0.83	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	98.43	0.83	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 95.19, 0.537; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 93.44, 0.775; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 93.44, 0.771; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 88.33, 0.426; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 88.28, 0.572; GCF_016106035.1, s__Aliarcobacter vandammei, 95.0, 85.95, 0.336; GCF_013201705.1, s__Aliarcobacter faecis, 95.0, 85.72, 0.375; GCF_013372265.1, s__Aliarcobacter cibarius, 95.0, 85.12, 0.31; GCF_003316695.1, s__Aliarcobacter vitoriensis, 95.0, 85.09, 0.34; GCF_004299785.2, s__Aliarcobacter porcinus, 95.0, 84.97, 0.272; GCF_013201625.1, s__Aliarcobacter lanthieri, 95.0, 84.32, 0.309; GCF_004214815.1, s__Aliarcobacter thereius, 95.0, 84.25, 0.278; GCA_947629065.1, s__Aliarcobacter sp947629065, 95.0, 84.04, 0.231; GCF_003063295.1, s__Aliarcobacter lacus, 95.0, 83.7, 0.223; GCF_900187115.1, s__Aliarcobacter butzleri, 95.0, 83.45, 0.216; GCF_003544915.1, s__Aliarcobacter ellisii, 95.0, 82.99, 0.191; GCF_013201935.1, s__Aliarcobacter cloacae, 95.0, 82.73, 0.183; GCF_013177635.1, s__Aliarcobacter aquimarinus, 95.0, 82.37, 0.177; GCF_013201725.1, s__Aliarcobacter defluvii, 95.0, 82.37, 0.16; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 82.33, 0.152; GCA_028690445.1, s__Aliarcobacter sp028690445, 95.0, 82.28, 0.151	71.0	11	N/A	N/A
binning_output.003	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
binning_output.004	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	97.12	0.33	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 94.85, 0.297; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 91.92, 0.251; GCF_000400735.1, s__Acinetobacter tandoii, 95.0, 91.12, 0.156; GCF_011058205.1, s__Acinetobacter fasciculus, 96.28, 90.85, 0.163	22.5	11	0.99854	N/A
binning_output.005	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	N/A	N/A	N/A	N/A	N/A	GCF_013283365.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__Marinobacterium_E sp013283365	97.82	0.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_012848475.1, s__Marinobacterium_E sp012848475, 95.0, 91.11, 0.157	13.55	11	0.99999	Genome domain questionable ( 14.2% Bacterial, 7.5% Archaeal)
binning_output.006	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_014352935.1	95.09	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	97.15	0.495	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 95.55, 0.263; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 91.96, 0.412; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 91.52, 0.409; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 88.88, 0.181; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 86.51, 0.189	17.2	11	0.99833	N/A
binning_output.007	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	11.48	11	1.0	Genome domain questionable ( 11.7% Bacterial, 3.8% Archaeal)
binning_output.008	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.2%)
binning_output.009	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.37	0.665	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	96.37	0.665	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 93.81, 0.609; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 91.09, 0.455	42.78	11	N/A	N/A
binning_output.010	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
binning_output.011	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microcella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microcella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_020216895.1, s__Microcella sp020216895, 95.0, 90.96, 0.572; GCF_014200395.1, s__Microcella frigidaquae, 95.0, 90.45, 0.54; GCA_027490915.1, s__Microcella sp027490915, 95.0, 89.71, 0.523; GCF_024362325.1, s__Microcella sp024362325, 95.0, 88.14, 0.362; GCA_002280615.1, s__Microcella sp002280615, 95.0, 87.42, 0.264; GCA_001464255.1, s__Microcella sp001464255, 95.0, 87.4, 0.278; GCF_001425665.1, s__Microcella sp001425665, 95.0, 86.51, 0.222; GCF_014595885.1, s__Microcella alkaliphila_B, 95.0, 86.28, 0.236; GCF_012530535.1, s__Microcella flavibacter, 95.0, 86.12, 0.189; GCF_030645145.1, s__Microcella sp030645145, 95.0, 86.05, 0.199; GCF_026625045.1, s__Microcella sp026625045, 95.0, 86.03, 0.184; GCF_019739195.1, s__Microcella sp019739195, 95.0, 85.82, 0.238; GCF_014137945.1, s__Microcella alkalica, 95.0, 85.72, 0.182; GCA_005502445.1, s__Microcella sp005502445, 95.0, 85.46, 0.174; GCA_005778835.1, s__Microcella sp005778835, 95.0, 85.32, 0.186; GCF_025808395.1, s__Microcella sp025808395, 95.0, 85.1, 0.202; GCA_013297625.1, s__Microcella sp013297625, 95.0, 85.08, 0.173; GCA_030158585.1, s__Microcella sp030158585, 95.0, 85.03, 0.151; GCF_009371975.2, s__Microcella pacifica, 95.0, 85.0, 0.172; GCF_013414345.1, s__Microcella indica, 95.0, 84.83, 0.164; GCA_013823625.1, s__Microcella sp013823625, 95.0, 84.64, 0.197	86.85	11	0.99315	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binning_output.012	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_900197625.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__Amylibacter sp900197625	97.92	0.42	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_000153745.1, s__Amylibacter sp000153745, 95.0, 85.13, 0.355; GCA_905182285.1, s__Amylibacter sp905182285, 95.0, 81.35, 0.214	48.66	11	0.99993	Genome has more than 31.7% of markers with multiple hits
