Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_2796796_2 # 551 # 634 # 1 # ID=868_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.643	BAA34540.1	gb|BAA34540.1|mphC [Staphylococcus aureus]	AB013298.1	NA	NA	BAA34540.1
k141_4544800_2 # 116 # 202 # 1 # ID=1027_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.184	AKQ05894.1	gb|AKQ05894.1|tet(50) [uncultured bacterium]	KR857684.1	tet(50)	NA	AKQ05894.1
k141_2622051_1 # 270 # 374 # 1 # ID=1685_1;partial=01;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.562	WP_152315472.1	gb|WP_152315472.1|OXA-859 [Acinetobacter baumannii]	NG_066721.1	blaOXA	A7J11_06515	WP_152315472.1
k141_2097658_1 # 2 # 325 # -1 # ID=1973_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.627	WP_080889626.1	gb|WP_080889626.1|BlaB-36 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_067984.1	blaB	A7J11_06649	WP_080889626.1
k141_3496061_1 # 1 # 177 # -1 # ID=2684_1;partial=10;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.520	AGR82311.1	gb|AGR82311.1|CMY-104 [Citrobacter sp. OTESBL0707]	KF150216.1	blaCMY-104	NA	AGR82311.1
k141_3670894_1 # 1 # 60 # -1 # ID=3257_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400	WP_004384957.1	gb|WP_004384957.1|CSA-2 [Cronobacter sakazakii]	NZ_CM126250.1	NA	NA	NA
k141_1048898_1 # 1 # 318 # 1 # ID=3548_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.440	CDM87362.1	gb|CDM87362.1|OXA-373 [Acinetobacter johnsonii]	HG931732.1	blaOXA-373	NA	CDM87362.1
k141_1922931_1 # 1 # 267 # -1 # ID=3662_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.637	AAK14791.1	gb|AAK14791.1|NPS-1 [Pseudomonas aeruginosa]	AY027589.1	NA	NA	AAK14791.1
k141_1048910_1 # 2 # 283 # 1 # ID=3840_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.454	CDM87362.1	gb|CDM87362.1|OXA-373 [Acinetobacter johnsonii]	HG931732.1	blaOXA-373	NA	CDM87362.1
k141_2447368_1 # 2 # 283 # 1 # ID=4210_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.450	WP_140423314.1	gb|WP_140423314.1|OXA-645 [Acinetobacter johnsonii]	NG_065431.1	blaOXA	A7J11_06264	WP_140423314.1
